MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern
4096.0,2048.0,10.0,0.07089393200021732,1.3111487430005582,0.09699941300004866,0.12390866300029302,0.2860821619997296
4096.0,2048.0,10.0,0.06024060500021733,1.4237529140000333,0.09777598100026808,0.12950257000011334,0.29384165999999823
4096.0,2048.0,10.0,0.04575600600037433,1.3828679790003662,0.10062837799978297,0.1254460640002435,0.2807667639999636
4096.0,2048.0,10.0,0.04437385900018853,1.4813334359996588,0.10472852499970031,0.14333789000011166,0.3084356189992832
4096.0,2048.0,10.0,0.0466611030005879,1.4133849289992213,0.09762875700016593,0.11258247699970525,0.29139367599964316
2048.0,2048.0,18.0,0.045911764000265975,2.670224474999486,0.12914511200051493,0.28419883200058393,0.8817645110002559
2048.0,2048.0,18.0,0.044330440000521776,2.156525672000498,0.12567663799927686,0.2936415419999321,0.8307433560003119
2048.0,2048.0,18.0,0.046194737999940116,2.10200321100001,0.14549384800011467,0.27038442399953055,0.7576910409998163
2048.0,2048.0,18.0,0.05263263300003018,2.295414000999699,0.1177465430000666,0.2911496070000794,0.5260525249996135
2048.0,2048.0,18.0,0.0697249249997185,1.8572367809993011,0.09804836599960254,0.2300503819997175,0.5187539010003093
1024.0,2048.0,26.0,0.03772490600022138,2.682345819999682,0.1750050350001402,0.7791488960001516,1.8890175749993432
1024.0,2048.0,26.0,0.03467424100017524,2.3771033829998487,0.14952702799928375,0.8453467669996826,2.412404678999337
1024.0,2048.0,26.0,0.045739251000668446,2.9645061729997906,0.18865877400003228,0.8344198579998192,2.0392346099997667
1024.0,2048.0,26.0,0.0567583599995487,3.6053434509994986,0.329360921999978,0.9928050819999044,2.0256824490006693
1024.0,2048.0,26.0,0.05554309700073645,2.981197764999706,0.2173749229996247,1.1563881860001857,2.756629585000155
512.0,2048.0,36.0,0.045814844999767956,3.8688670149995232,0.3213373340004182,2.0553161199995884,3.348707131000083
512.0,2048.0,36.0,0.044472464000136824,3.7958030640002107,0.17791725500046596,2.132891016999565,3.164275474000533
512.0,2048.0,36.0,0.04034752799998387,2.9314313639997636,0.13256076400011807,1.872138688000632,2.405811363999419
512.0,2048.0,36.0,0.027620525999736856,3.4025030570001036,0.20961052300026495,1.7708767439999065,2.682699773999957
512.0,2048.0,36.0,0.06540025899994362,4.106547458000023,0.17994843199994648,2.1909679969994613,3.420991918999789
256.0,2048.0,42.0,0.041448167000453395,4.156619571000192,0.1769258920003267,4.1021888400000535,10.731015149000086
256.0,2048.0,42.0,0.05594810200000211,3.8749720929999967,0.18906049799988978,4.184585689000414,10.341511104999881
256.0,2048.0,42.0,0.04926354000053834,4.028427682999791,0.21399719399960304,4.271787781000057,9.655483278999782
256.0,2048.0,42.0,0.047334355999737454,4.076208649000364,0.20637295399956201,4.344638481999937,9.9504204750001
256.0,2048.0,42.0,0.045617443999617535,4.189124960999834,0.29763241700038634,4.297317550000116,9.670165179999458
128.0,2048.0,44.0,0.05779028899996774,4.411651735000305,0.29419812800006184,6.247706388999177,3.3172683630000392
128.0,2048.0,44.0,0.03688863899969874,3.509411483999429,0.23073393300001044,6.16307245400003,4.2341132459996516
128.0,2048.0,44.0,0.03735404100007145,3.6774821449998853,0.18796214900066843,7.168847556000401,4.082829801999651
128.0,2048.0,44.0,0.07422579400008544,4.807760251000218,0.18026443700000527,7.523279076000108,5.369392784000411
128.0,2048.0,44.0,0.04601202799949533,5.154169512000408,0.2924740729995392,9.01040178599942,5.595780122999713
64.0,2048.0,46.0,0.04537276100018062,5.168675654000253,0.1692146089999369,12.002332391999516,15.138009043000238
64.0,2048.0,46.0,0.04036034699947777,4.649007527000322,0.20706023999991885,14.425370544000543,14.786639263000325
64.0,2048.0,46.0,0.0528771429999324,4.697373289999632,0.2646955860000162,15.164627451000342,16.270209778999742
64.0,2048.0,46.0,0.06314493599984417,4.850032604999797,0.28156057100022736,14.443816165000499,23.629527779000455
64.0,2048.0,46.0,0.07806981900012033,3.977668972000174,0.20276253100018948,12.036044726,16.792643091000173
32.0,2048.0,50.0,0.04459476500051096,5.26610897899991,0.19983312099975592,17.782737000999987,34.12201618600011
32.0,2048.0,50.0,0.11594202300057077,7.424659479999718,0.30078382899955614,23.544196587000442,26.720249240000157
32.0,2048.0,50.0,0.050402348999341484,4.835854703000223,0.2802533439999024,19.67277286300032,29.711275923000358
32.0,2048.0,50.0,0.05190632199992251,3.8219534970003224,0.13990929299961863,16.421195998000258,22.30192942800022
32.0,2048.0,50.0,0.036672211999757565,4.7141909940000915,0.22687335899991012,17.537492294000003,23.874132551999537
16.0,2048.0,54.0,0.03539444999933039,4.986322437000126,0.14373486600015895,31.993627348999325,13.610725532000288
16.0,2048.0,54.0,0.06030111099971691,4.322086318000402,0.15130081200004497,29.113925467000627,8.82708462499977
16.0,2048.0,54.0,0.03843930699986231,4.331393204000051,0.23570818999996845,31.60322072299914,9.736470479999298
16.0,2048.0,54.0,0.03742437500022788,4.512588532000336,0.16832216800048627,30.70157519300028,14.073134023999955
16.0,2048.0,54.0,0.07357433099969057,6.003569772000446,0.21285341600014362,35.730791874000715,11.518250985999657
8.0,2048.0,55.0,0.058368764000078954,6.226842955999928,0.2869480310000654,74.41583209200053,42.56867695599976
8.0,2048.0,55.0,0.040586304000498785,4.330252155999915,0.18404142300005333,64.31372826999996,55.861742609999965
8.0,2048.0,55.0,0.048127598999599286,5.657260926000163,0.214547071999732,70.50792156199986,45.122781322000264
8.0,2048.0,55.0,0.04328246600016428,4.832593318999898,0.16953114600073604,67.49775073,46.144367936999515
8.0,2048.0,55.0,0.07916018099967914,5.544420586999877,0.22463159000017185,76.03509896499963,56.99801062700044
