,Item,ExpSup,MaxPeriod
0,AQI_CO_lv2,5881.16028708134,49.0
1,Bus_LOW,5842.644543172199,49.0
2,Truck_LOW,4691.804259039202,49.0
3,Car_MODERATE,2931.9053227646227,49.0
4,Person_MODERATE,2416.8645137422445,49.0
5,Person_LOW,2268.0505474462316,55.0
6,Motorbike_LOW,2141.20680003483,63.0
7,Motorbike_HIGH,1974.4188520968296,49.0
8,Motorbike_MODERATE,1247.8908658863988,54.0
9,Car_HIGH,1033.5933042376137,50.0
10,Truck_MODERATE,903.2831166496796,49.0
11,Car_LOW,887.172467516625,100.0
12,Person_HIGH,592.5476283396719,78.0
13,Bus_MODERATE,236.3226630665767,120.0
14,Truck_HIGH,107.48374875446024,245.0
15,Bus_HIGH,40.99119050883756,316.0
