766:[6236.237999999994, 112.0]
368:[7862.320999999951, 113.0]
529:[7082.314999999985, 133.0]
722:[5878.275000000022, 136.0]
354:[5797.438999999974, 140.0]
692:[5020.153999999984, 143.0]
829:[6841.142999999976, 146.0]
419:[5042.517999999999, 159.0]
120:[4978.844999999997, 174.0]
682:[4174.3289999999915, 182.0]
177:[4593.360999999998, 183.0]
684:[5375.072999999993, 184.0]
460:[4424.71999999999, 185.0]
494:[5101.821000000001, 186.0]
145:[4597.88799999999, 189.0]
883:[4923.169999999987, 197.0]
937:[4664.168000000007, 201.0]
217:[5345.286999999985, 204.0]
32:[4247.670999999985, 219.0]
362:[4375.7769999999955, 224.0]
283:[4096.903999999994, 229.0]
438:[4536.4659999999985, 232.0]
39:[4256.323999999994, 236.0]
470:[4114.952000000013, 243.0]
789:[4299.719999999999, 327.0]
